letter,img_x,img_y,scale,R0,theta0,R1,theta1,c0x,c0y,c1x,c1y,r0x,r0y,r1x,r1y,r0,r1,c0_x,c0_y,c1_x,c1_y,r0_x,r0_y,r1_x,r1_y
P,330.0,-860.0,5.4869695,65.29931,-2.0481417,66.0303,1.6010901,480.0,198.0,450.0,365.0,495.0,227.0,451.0,332.0,11.900796969985,12.0340198719894,27.33749476828694,192.82046309898388,21.86999581462955,223.25620727434335,30.071244245115633,198.10571208751935,22.052245779751466,217.2419584253202
B,85.0,-860.0,5.4869695,135.24792,-2.2409184,61.351448,1.9028558,506.0,96.0,441.0,361.0,548.0,149.0,451.0,332.0,24.6489287028113,11.1812992581789,76.72723531632535,174.23096665654876,64.88098758340101,222.52720741385568,84.38173385144569,183.89021480801014,66.70348723462013,217.2419584253202
F,-160.0,-860.0,5.4869695,52.0,1.9655875,88.40814,-2.2278712,491.0,248.0,423.0,302.0,501.0,224.0,450.0,337.0,9.47699818633947,16.1123804314932,118.64472729436532,201.93296135507953,106.25172966607524,211.77445947166282,120.46722694558444,197.55896219215361,111.17247872436688,218.15320825092977
V,-405.0,-860.0,5.4869695,64.03124,1.8233505,106.826965,-2.2367656,520.0,192.0,417.0,295.0,528.0,161.0,450.0,337.0,11.6696912567128,19.4692106453298,168.58121773776946,191.7269633082524,149.80947133021243,210.49870971580944,170.03921745874476,186.0772143894731,155.82372017923555,218.15320825092977
CH,-730.0,-860.0,5.4869695,68.0294,-2.7173982,68.8767,-2.6909313,465.0,223.0,418.0,321.0,496.0,237.0,449.0,336.0,12.3983557772647,12.5527761727125,217.78870832068594,197.3767122270317,209.22295995995606,215.23720880897918,223.43845723946527,199.9282117387385,214.87270887873535,217.97095828580785
J,-1005.0,-875.0,5.4869695,68.0294,-2.7173982,68.8767,-2.6909313,514.0,120.0,418.0,321.0,545.0,134.0,449.0,336.0,12.3983557772647,12.5527761727125,276.8376970201857,181.33871529630338,259.3417003684821,217.97095828580785,282.48744593896504,183.89021480801014,264.9914492872614,220.70470776263656
Sl,-2360.0,-1665.0,9.292232,25.612497,-2.2455373,52.0,1.9655875,539.0,266.0,502.0,377.0,547.0,276.0,512.0,353.0,2.75633421550387,5.59607207396458,311.9810181235251,207.80798413126146,307.999197609358,219.75344567376277,312.8419522887504,208.8841518377931,309.07536531588966,217.1706431780868
Sr,-2360.0,-1665.0,9.292232,41.617306,2.1854594,34.4093,-2.1910458,620.0,293.0,577.0,338.0,632.0,276.0,587.0,352.0,4.47872007500458,3.7030177464359504,320.69797654643145,210.7136369388969,316.07045540834537,215.55639161828933,321.98937779426944,208.8841518377931,317.146623114877,217.06302640743365
SH,-2785.0,-1665.0,9.292232,42.941822,-2.6571147,40.24922,-2.6779451,612.0,255.0,569.0,343.0,631.0,265.0,587.0,352.0,4.62126020960303,4.33149107770878,365.57416990880125,206.62419965407665,360.9466487707151,216.09447547155517,367.61888855121134,207.70036736060828,362.88375064247214,217.06302640743365
NG,-3835.0,-1665.0,9.292232,44.94441,-1.00748,43.908997,-1.0460006,609.0,316.0,714.0,377.0,597.0,335.0,703.0,396.0,4.83677226311181,4.72534445975951,478.2489287826649,213.1888226639197,489.5486897012472,219.75344567376277,476.9575275348269,215.23354130632984,488.3649052240624,221.7981643161729
